PageNumber,AreaName,Quantity,Shape,Size,Length,WeightFT,WeightEA,TopOfSteel,GUID
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W27X84,38.0,84.0,3192.0,1,b_1HKsX5Bt9EXeENMZEuCz_F
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W27X84,30.0,84.0,2520.0,1,b_0zROQmpY97vBn5guslhCsD
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X76,31.0,76.0,2356.0,1,b_0OmzABOyfBF9rl9$Xaqidj
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X76,29.0,76.0,2204.0,1,b_2bhIrnf1XADgQrf4jNScBD
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X62,29.0,62.0,1798.0,1,b_3abwPQ4IvAp9tfGmY1sCf7
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X62,30.0,62.0,1860.0,1,b_3r02TisgzAK91oTB8tYf0P
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X62,30.0,62.0,1860.0,1,b_2eHHp8zQLAA9ryiUBMmS98
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X62,30.0,62.0,1860.0,1,b_0_O7l8bqD3wu9cruQVGgOu
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W24X55,26.490000000000002,55.0,1456.95,1,b_2Nbyg3EU51f8eK6Yr6$p9n
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W21X48,30.0,48.0,1440.0,1,b_3P4WkfPGH4NQuWVlpRAycc
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W21X48,29.92,48.0,1436.16,1,b_22Bkrs9K1Dyg1BrqA4z4R2
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W18X50,25.0,50.0,1250.0,1,b_0OvWY0tbf89QdMnKreUAJX
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W18X40,22.95,40.0,918.0,1,b_3NGots8NDA49GACmxpHt$W
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W18X40,18.509999999999998,40.0,740.4,1,b_31SMYa6wb5I9yMQo7mMPQs
15,BLDG 1 - Partial Roof Framing Plan - Area A,1,W,W18X40,30.0,40.0,1200.0,1,b_3Dy26eyjT1RxZqa1nOwiwg
